Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Førstegangsvitnemålskvote;UIO;Suppleringsopptak;185 478;Arkeologi;;HISTORIE;2020;40.4
Førstegangsvitnemålskvote;UIT;Suppleringsopptak;186 478;Arkeologi;;HISTORIE;2020;0
Ordinær kvote;NTNU;Suppleringsopptak;194 478;Arkeologi;;HISTORIE;2020;39.9
Ordinær kvote;UIB;Suppleringsopptak;184 478;Arkeologi;;HISTORIE;2020;0
Ordinær kvote;UIO;Suppleringsopptak;185 478;Arkeologi;;HISTORIE;2020;50.1
Ordinær kvote;UIT;Suppleringsopptak;186 478;Arkeologi;;HISTORIE;2020;0
Førstegangsvitnemålskvote;AHO;Hovedopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2020;107.97
Ordinær kvote;AHO;Hovedopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2020;128.97
Førstegangsvitnemålskvote;AHO;Suppleringsopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2020;107.97
Ordinær kvote;AHO;Suppleringsopptak;189 030;Arkitekt*;;TEKNO - ARKITEKT;2020;128.97
Førstegangsvitnemålskvote;USN;Hovedopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2020;0
Ordinær kvote;USN;Hovedopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2020;0
Førstegangsvitnemålskvote;USN;Suppleringsopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2020;0
Ordinær kvote;USN;Suppleringsopptak;222 155;Arkitektonisk lysdesign;;TEKNO - ANNET;2020;0
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2020;54.8
Ordinær kvote;NTNU;Hovedopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2020;59.7
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2020;54.8
Ordinær kvote;NTNU;Suppleringsopptak;194 756;Arkitektur;;TEKNO - ARKITEKT;2020;59.7
Førstegangsvitnemålskvote;NTNU;Hovedopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2020;0
Ordinær kvote;NTNU;Hovedopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2020;40.5
Førstegangsvitnemålskvote;NTNU;Suppleringsopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2020;0
Ordinær kvote;NTNU;Suppleringsopptak;194 085;Arkiv, museum og dokumentasjonsforvaltning;;SAMFUNN;2020;38.8
Førstegangsvitnemålskvote;OSLOMET;Hovedopptak;215 085;Arkivvitenskap;;MEDIEFAG;2020;0
Ordinær kvote;OSLOMET;Hovedopptak;215 085;Arkivvitenskap;;MEDIEFAG;2020;50.8
Førstegangsvitnemålskvote;OSLOMET;Suppleringsopptak;215 085;Arkivvitenskap;;MEDIEFAG;2020;0
